parametername,parameterid,fixfit,Parameter.class,Parameter.description,Model.guild.or.feature
D_inshore_carnben,92,2,Fishing fleet model,Discard rate inshore,Carnivore/scavenge feeding benthos
D_offshore_carnben,93,2,Fishing fleet model,Discard rate offshore,Carnivore/scavenge feeding benthos
D_inshore_carnzoo,94,2,Fishing fleet model,Discard rate inshore,Carnivorous zooplankton
D_offshore_carnzoo,95,2,Fishing fleet model,Discard rate offshore,Carnivorous zooplankton
D_inshore_bird,96,2,Fishing fleet model,Discard rate inshore,Birds
D_offshore_bird,97,2,Fishing fleet model,Discard rate offshore,Birds
D_inshore_seal,98,2,Fishing fleet model,Discard rate inshore,Pinnipeds
D_offshore_seal,99,2,Fishing fleet model,Discard rate offshore,Pinnipeds
D_inshore_ceta,100,2,Fishing fleet model,Discard rate inshore,Cetaceans
D_offshore_ceta,101,2,Fishing fleet model,Discard rate offshore,Cetaceans
D_inshore_kelp,102,2,Fishing fleet model,Discard rate inshore,Macrophytes
D_offshore_kelp,103,2,Fishing fleet model,Discard rate offshore,Macrophytes
G_inshore_pelagic,104,2,Fishing fleet model,Processing at sea rate inshore,Planktivorous fish
G_offshore_pelagic,105,2,Fishing fleet model,Processing at sea rate offshore,Planktivorous fish
G_inshore_demersal,106,2,Fishing fleet model,Processing at sea rate inshore,Demersal fish
G_offshore_demersal,107,2,Fishing fleet model,Processing at sea rate offshore,Demersal fish
G_inshore_migratory,108,2,Fishing fleet model,Processing at sea rate inshore,Migratory fish
G_offshore_migratory,109,2,Fishing fleet model,Processing at sea rate offshore,Migratory fish
G_inshore_filtben,110,2,Fishing fleet model,Processing at sea rate inshore,Suspension/deposit feeding benthos
G_offshore_filtben,111,2,Fishing fleet model,Processing at sea rate offshore,Suspension/deposit feeding benthos
G_inshore_carnben,112,2,Fishing fleet model,Processing at sea rate inshore,Carnivore/scavenge feeding benthos
G_offshore_carnben,113,2,Fishing fleet model,Processing at sea rate offshore,Carnivore/scavenge feeding benthos
G_inshore_carnzoo,114,2,Fishing fleet model,Processing at sea rate inshore,Carnivorous zooplankton
G_offshore_carnzoo,115,2,Fishing fleet model,Processing at sea rate offshore,Carnivorous zooplankton
G_inshore_bird,116,2,Fishing fleet model,Processing at sea rate inshore,Birds
G_offshore_bird,117,2,Fishing fleet model,Processing at sea rate offshore,Birds
G_inshore_seal,118,2,Fishing fleet model,Processing at sea rate inshore,Pinnipeds
G_offshore_seal,119,2,Fishing fleet model,Processing at sea rate offshore,Pinnipeds
G_inshore_ceta,120,2,Fishing fleet model,Processing at sea rate inshore,Cetaceans
G_offshore_ceta,121,2,Fishing fleet model,Processing at sea rate offshore,Cetaceans
G_inshore_kelp,122,2,Fishing fleet model,Processing at sea rate inshore,Macrophytes
G_offshore_kelp,123,2,Fishing fleet model,Processing at sea rate offshore,Macrophytes
ploughdaily_S0,286,2,Fishing fleet model,Abrasion rate by fishing gears,Inshore rock
ploughdaily_S1,287,2,Fishing fleet model,Abrasion rate by fishing gears,Inshore muddy sediments
ploughdaily_S2,288,2,Fishing fleet model,Abrasion rate by fishing gears,Inshore sandy sediments
ploughdaily_S3,289,2,Fishing fleet model,Abrasion rate by fishing gears,Inshore coarse sediments
ploughdaily_D0,290,2,Fishing fleet model,Abrasion rate by fishing gears,Offshore rock
ploughdaily_D1,291,2,Fishing fleet model,Abrasion rate by fishing gears,Offshore muddy sediments
ploughdaily_D2,292,2,Fishing fleet model,Abrasion rate by fishing gears,Offshore sandy sediments
ploughdaily_D3,293,2,Fishing fleet model,Abrasion rate by fishing gears,Offshore coarse sediments
inshore_bensdamage,294,2,Fishing fleet model,Damage mortality rate by fishing gears,Suspension/deposit feeding benthos inshore
offshore_bensdamage,295,2,Fishing fleet model,Damage mortality rate by fishing gears,Suspension/deposit feeding benthos offshore
inshore_bencdamage,296,2,Fishing fleet model,Damage mortality rate by fishing gears,Carnivore/scavenge feeding benthos inshore
offshore_bencdamage,297,2,Fishing fleet model,Damage mortality rate by fishing gears,Carnivore/scavenge feeding benthos offshore
offal_prop_live_weight,298,2,Fishing fleet model,Offal as proportion of live weight,All guilds
ploughdepth_S0,299,2,Fishing fleet model,Penetration depth by fishing gears,Inshore rock
ploughdepth_S1,300,2,Fishing fleet model,Penetration depth by fishing gears,Inshore muddy sediments
ploughdepth_S2,301,2,Fishing fleet model,Penetration depth by fishing gears,Inshore sandy sediments
ploughdepth_S3,302,2,Fishing fleet model,Penetration depth by fishing gears,Inshore coarse sediments
ploughdepth_D0,303,2,Fishing fleet model,Penetration depth by fishing gears,Offshore rock
ploughdepth_D1,304,2,Fishing fleet model,Penetration depth by fishing gears,Offshore muddy sediments
ploughdepth_D2,305,2,Fishing fleet model,Penetration depth by fishing gears,Offshore sandy sediments
ploughdepth_D3,306,2,Fishing fleet model,Penetration depth by fishing gears,Offshore coarse sediments
qtena,307,1,Ecology model fixed,Q10,Autotrophic uptake
qtenh,308,1,Ecology model fixed,Q10,Heterotrophic uptake
qtenm,309,1,Ecology model fixed,Q10,Metabolism and microbial rates
qtenr,310,1,Ecology model fixed,Q10 reference temperature,All temperature dependent processes
Lmaxup_phyt,311,1,Ecology model fixed,Saturation light intensity for uptake,Nutrient by phytoplankton
Lmaxup_kelp,312,1,Ecology model fixed,Saturation light intensity for uptake,Nutrient by macrophytes
NCmax_kelp,313,1,Ecology model fixed,N:C molar ratio maximum,Macrophytes
NCmin_kelp,314,1,Ecology model fixed,N:C molar ratio minimum,Macrophytes
wave_beach_kelpdebris,315,0,Ecology model fitted,Conversion rate,Macrophyte debris to beach-cast
umaxC_kelp,316,0,Ecology model fitted,Maximum uptake rate,Carbon by macrophytes
exudeC_kelp,317,0,Ecology model fitted,Carbon exudation rate,Macrophytes
selfshade_kelp,318,0,Ecology model fitted,Coefficient,Macrophyte self shading
uNIT_kelpt,319,0,Ecology model fitted,Maximum uptake rate,Nitrate by macrophytes
hsNIT_kelp,320,0,Ecology model fitted,Uptake half saturation coefficient,Nitrate by macrophytes
uAMM_kelpt,321,0,Ecology model fitted,Maximum uptake rate,Ammonia by macrophytes
hsAMM_kelp,322,0,Ecology model fitted,Uptake half saturation coefficient,Ammonia by macrophytes
uNIT_phytt,323,0,Ecology model fitted,Maximum uptake rate,Nitrate by phytoplankton
hsNIT_phyt,324,0,Ecology model fitted,Uptake half saturation coefficient,Nitrate by phytoplankton
uAMM_phytt,325,0,Ecology model fitted,Maximum uptake rate,Ammonia by phytoplankton
hsAMM_phyt,326,0,Ecology model fitted,Uptake half saturation coefficient,Ammonia by phytoplankton
uphyt_omnit,327,0,Ecology model fitted,Maximum uptake rate,Phytoplankton by omnivorous zooplankton
hsphyt_omni,328,0,Ecology model fitted,Uptake half saturation coefficient,Phytoplankton by omnivorous zooplankton
udet_omnit,329,0,Ecology model fitted,Maximum uptake rate,Suspended detritus by omnivorous zooplankton
hsdet_omni,330,0,Ecology model fitted,Uptake half saturation coefficient,Suspended detritus by omnivorous zooplankton
ubenthslar_omnit,331,0,Ecology model fitted,Maximum uptake rate,Suspension/deposit feeding benthos larvae by omnivorous zooplankton
hsbenthslar_omni,332,0,Ecology model fitted,Uptake half saturation coefficient,Suspension/deposit feeding benthos larvae by omnivorous zooplankton
ubenthclar_omnit,333,0,Ecology model fitted,Maximum uptake rate,Carnivore/scavenge feeding benthos larvae by omnivorous zooplankton
hsbenthclar_omni,334,0,Ecology model fitted,Uptake half saturation coefficient,Carnivore/scavenge feeding benthos larvae by omnivorous zooplankton
uomni_carnt,335,0,Ecology model fitted,Maximum uptake rate,Omnivorous zooplankton by carnivorous zooplankton
hsomni_carn,336,0,Ecology model fitted,Uptake half saturation coefficient,Omnivorous zooplankton by carnivorous zooplankton
ubenthslar_carnt,337,0,Ecology model fitted,Maximum uptake rate,Suspension/deposit feeding benthos larvae by carnivorous zooplankton
hsbenthslar_carn,338,0,Ecology model fitted,Uptake half saturation coefficient,Suspension/deposit feeding benthos larvae by carnivorous zooplankton
ubenthclar_carnt,339,0,Ecology model fitted,Maximum uptake rate,Carnivore/scavenge feeding benthos larvae by carnivorous zooplankton
hsbenthclar_carn,340,0,Ecology model fitted,Uptake half saturation coefficient,Carnivore/scavenge feeding benthos larvae by carnivorous zooplankton
ufishplar_carnt,341,0,Ecology model fitted,Maximum uptake rate,Planktivorous fish larvae by carnivorous zooplankton
hsfishplar_carn,342,0,Ecology model fitted,Uptake half saturation coefficient,Planktivorous fish larvae by carnivorous zooplankton
ufishdlar_carnt,343,0,Ecology model fitted,Maximum uptake rate,Demersal fish larvae by carnivorous zooplankton
hsfishdlar_carn,344,0,Ecology model fitted,Uptake half saturation coefficient,Demersal fish larvae by carnivorous zooplankton
uomni_fishplart,345,0,Ecology model fitted,Maximum uptake rate,Omnivorous zooplankton by planktivorous fish larvae
hsomni_fishplar,346,0,Ecology model fitted,Uptake half saturation coefficient,Omnivorous zooplankton by planktivorous fish larvae
ubenthslar_fishplart,347,0,Ecology model fitted,Maximum uptake rate,Suspension/deposit feeding benthos larvae by planktivorous fish larvae
hsbenthslar_fishplar,348,0,Ecology model fitted,Uptake half saturation coefficient,Suspension/deposit feeding benthos larvae by planktivorous fish larvae
ubenthclar_fishplart,349,0,Ecology model fitted,Maximum uptake rate,Carnivore/scavenge feeding benthos larvae by planktivorous fish larvae
hsbenthclar_fishplar,350,0,Ecology model fitted,Uptake half saturation coefficient,Carnivore/scavenge feeding benthos larvae by planktivorous fish larvae
uomni_fishpt,351,0,Ecology model fitted,Maximum uptake rate,Omnivorous zooplankton by planktivorous fish
hsomni_fishp,352,0,Ecology model fitted,Uptake half saturation coefficient,Omnivorous zooplankton by planktivorous fish
ucarn_fishpt,353,0,Ecology model fitted,Maximum uptake rate,Carnivorous zooplankton by planktivorous fish
hscarn_fishp,354,0,Ecology model fitted,Uptake half saturation coefficient,Carnivorous zooplankton by planktivorous fish
ubenthslar_fishpt,355,0,Ecology model fitted,Maximum uptake rate,Suspension/deposit feeding benthos larvae by planktivorous fish
hsbenthslar_fishp,356,0,Ecology model fitted,Uptake half saturation coefficient,Suspension/deposit feeding benthos larvae by planktivorous fish
ubenthclar_fishpt,357,0,Ecology model fitted,Maximum uptake rate,Carnivore/scavenge feeding benthos larvae by planktivorous fish
hsbenthclar_fishp,358,0,Ecology model fitted,Uptake half saturation coefficient,Carnivore/scavenge feeding benthos larvae by planktivorous fish
ufishdlar_fishpt,359,0,Ecology model fitted,Maximum uptake rate,Demersal fish larvae by planktivorous fish
hsfishdlar_fishp,360,0,Ecology model fitted,Uptake half saturation coefficient,Demersal fish larvae by planktivorous fish
ufishplar_fishpt,361,0,Ecology model fitted,Maximum uptake rate,Planktivorous fish larvae by planktivorous fish
hsfishplar_fishp,362,0,Ecology model fitted,Uptake half saturation coefficient,Planktivorous fish larvae by planktivorous fish
uomni_fishmt,363,0,Ecology model fitted,Maximum uptake rate,Omnivorous zooplankton by migratory fish
hsomni_fishm,364,0,Ecology model fitted,Uptake half saturation coefficient,Omnivorous zooplankton by migratory fish
ucarn_fishmt,365,0,Ecology model fitted,Maximum uptake rate,Carnivorous zooplankton by migratory fish
hscarn_fishm,366,0,Ecology model fitted,Uptake half saturation coefficient,Carnivorous zooplankton by migratory fish
ubenthslar_fishmt,367,0,Ecology model fitted,Maximum uptake rate,Suspension/deposit feeding benthos larvae by migratory fish
hsbenthslar_fishm,368,0,Ecology model fitted,Uptake half saturation coefficient,Suspension/deposit feeding benthos larvae by migratory fish
ubenthclar_fishmt,369,0,Ecology model fitted,Maximum uptake rate,Carnivore/scavenge feeding benthos larvae by migratory fish
hsbenthclar_fishm,370,0,Ecology model fitted,Uptake half saturation coefficient,Carnivore/scavenge feeding benthos larvae by migratory fish
ufishdlar_fishmt,371,0,Ecology model fitted,Maximum uptake rate,Demersal fish larvae by migratory fish
hsfishdlar_fishm,372,0,Ecology model fitted,Uptake half saturation coefficient,Demersal fish larvae by migratory fish
ufishplar_fishmt,373,0,Ecology model fitted,Maximum uptake rate,Planktivorous fish larvae by migratory fish
hsfishplar_fishm,374,0,Ecology model fitted,Uptake half saturation coefficient,Planktivorous fish larvae by migratory fish
uomni_fishdlart,375,0,Ecology model fitted,Maximum uptake rate,Omnivorous zooplankton by demersal fish larvae
hsomni_fishdlar,376,0,Ecology model fitted,Uptake half saturation coefficient,Omnivorous zooplankton by demersal fish larvae
ubenthslar_fishdlart,377,0,Ecology model fitted,Maximum uptake rate,Suspension/deposit feeding benthos larvae by demersal fish larvae
hsbenthslar_fishdlar,378,0,Ecology model fitted,Uptake half saturation coefficient,Suspension/deposit feeding benthos larvae by demersal fish larvae
ubenthclar_fishdlart,379,0,Ecology model fitted,Maximum uptake rate,Carnivore/scavenge feeding benthos larvae by demersal fish larvae
hsbenthclar_fishdlar,380,0,Ecology model fitted,Uptake half saturation coefficient,Carnivore/scavenge feeding benthos larvae by demersal fish larvae
ucarn_fishdt,381,0,Ecology model fitted,Maximum uptake rate,Carnivorous zooplankton by demersal fish
hscarn_fishd,382,0,Ecology model fitted,Uptake half saturation coefficient,Carnivorous zooplankton by demersal fish
ubenths_fishdt,383,0,Ecology model fitted,Maximum uptake rate,Suspension/deposit feeding benthos by demersal fish
hsbenths_fishd,384,0,Ecology model fitted,Uptake half saturation coefficient,Suspension/deposit feeding benthos by demersal fish
ubenthc_fishdt,385,0,Ecology model fitted,Maximum uptake rate,Carnivore/scavenge feeding benthos by demersal fish
hsbenthc_fishd,386,0,Ecology model fitted,Uptake half saturation coefficient,Carnivore/scavenge feeding benthos by demersal fish
ufishplar_fishdt,387,0,Ecology model fitted,Maximum uptake rate,Planktivorous fish larvae by demersal fish
hsfishplar_fishd,388,0,Ecology model fitted,Uptake half saturation coefficient,Planktivorous fish larvae by demersal fish
ufishdlar_fishdt,389,0,Ecology model fitted,Maximum uptake rate,demersal fish larvae by demersal fish
hsfishdlar_fishd,390,0,Ecology model fitted,Uptake half saturation coefficient,demersal fish larvae by demersal fish
ufishp_fishdt,391,0,Ecology model fitted,Maximum uptake rate,Planktivorous fish by demersal fish
hsfishp_fishd,392,0,Ecology model fitted,Uptake half saturation coefficient,Planktivorous fish by demersal fish
ufishm_fishdt,393,0,Ecology model fitted,Maximum uptake rate,Migratory fish by demersal fish
hsfishm_fishd,394,0,Ecology model fitted,Uptake half saturation coefficient,Migratory fish by demersal fish
ufishd_fishdt,395,0,Ecology model fitted,Maximum uptake rate,Demersal fish by demersal fish
hsfishd_fishd,396,0,Ecology model fitted,Uptake half saturation coefficient,Demersal fish by demersal fish
udisc_fishdt,397,0,Ecology model fitted,Maximum uptake rate,Discards by demersal fish
hsdisc_fishd,398,0,Ecology model fitted,Uptake half saturation coefficient,Discards by demersal fish
ucorp_fishdt,399,0,Ecology model fitted,Maximum uptake rate,Corpses by demersal fish
hscorp_fishd,400,0,Ecology model fitted,Uptake half saturation coefficient,Corpses by demersal fish
uphyt_benthslart,401,0,Ecology model fitted,Maximum uptake rate,Phytoplankton by suspension/deposit feeding benthos larvae
hsphyt_benthslar,402,0,Ecology model fitted,Uptake half saturation coefficient,Phytoplankton by suspension/deposit feeding benthos larvae
udet_benthslart,403,0,Ecology model fitted,Maximum uptake rate,Suspended detritus by suspension/deposit feeding benthos larvae
hsdet_benthslar,404,0,Ecology model fitted,Uptake half saturation coefficient,Suspended detritus by suspension/deposit feeding benthos larvae
uphyt_benthclart,405,0,Ecology model fitted,Maximum uptake rate,Phytoplankton by carnivore/scavenge feeding benthos larvae
hsphyt_benthclar,406,0,Ecology model fitted,Uptake half saturation coefficient,Phytoplankton by carnivore/scavenge feeding benthos larvae
udet_benthclart,407,0,Ecology model fitted,Maximum uptake rate,Suspended detritus by carnivore/scavenge feeding benthos larvae
hsdet_benthclar,408,0,Ecology model fitted,Uptake half saturation coefficient,Suspended detritus by carnivore/scavenge feeding benthos larvae
uphyt_benthst,409,0,Ecology model fitted,Maximum uptake rate,Phytoplankton by suspension/deposit feeding benthos
hsphyt_benths,410,0,Ecology model fitted,Uptake half saturation coefficient,Phytoplankton by suspension/deposit feeding benthos
udet_benthst,411,0,Ecology model fitted,Maximum uptake rate,Suspended detritus by suspension/deposit feeding benthos
hsdet_benths,412,0,Ecology model fitted,Uptake half saturation coefficient,Suspended detritus by suspension/deposit feeding benthos
used_benthst,413,0,Ecology model fitted,Maximum uptake rate,Sediment detritus by suspension/deposit feeding benthos
hssed_benths,414,0,Ecology model fitted,Uptake half saturation coefficient,Sediment detritus by suspension/deposit feeding benthos
ubenths_benthct,415,0,Ecology model fitted,Maximum uptake rate,Suspension/deposit feeding benthos by carnivore/scavenge feeding benthos
hsbenths_benthc,416,0,Ecology model fitted,Uptake half saturation coefficient,Suspension/deposit feeding benthos by carnivore/scavenge feeding benthos
ukelp_benthct,417,0,Ecology model fitted,Maximum uptake rate,Macrophytes by carnivorous/scavenge feeding benthos
hskelp_benthc,418,0,Ecology model fitted,Uptake half saturation coefficient,Macrophytes by carnivorous/scavenge feeding benthos
ukelpdebris_benthct,419,0,Ecology model fitted,Maximum uptake rate,Macrophyte debris by carnivorous/scavenge feeding benthos
hskelpdebris_benthc,420,0,Ecology model fitted,Uptake half saturation coefficient,Macrophyte debris by carnivorous/scavenge feeding benthos
ucorp_benthct,421,0,Ecology model fitted,Maximum uptake rate,Corpses by carnivore/scavenge feeding benthos
hscorp_benthc,422,0,Ecology model fitted,Uptake half saturation coefficient,Corpses by carnivore/scavenge feeding benthos
ucarn_bird,423,0,Ecology model fitted,Maximum uptake rate,Carnivorous zooplankton by birds
hscarn_bird,424,0,Ecology model fitted,Uptake half saturation coefficient,Carnivorous zooplankton by birds&mammala
ubenths_bird,425,0,Ecology model fitted,Maximum uptake rate,Suspension/deposit feeding benthos by birds
hsbenths_bird,426,0,Ecology model fitted,Uptake half saturation coefficient,Suspension/deposit feeding benthos by birds
ubenthc_bird,427,0,Ecology model fitted,Maximum uptake rate,Carnivore/scavenge feeding benthos by birds
hsbenthc_bird,428,0,Ecology model fitted,Uptake half saturation coefficient,Carnivore/scavenge feeding benthos by birds
ufishp_bird,429,0,Ecology model fitted,Maximum uptake rate,Planktivorous fish by birds
hsfishp_bird,430,0,Ecology model fitted,Uptake half saturation coefficient,Planktivorous fish by birds
ufishm_bird,431,0,Ecology model fitted,Maximum uptake rate,Migratory fish by birds
hsfishm_bird,432,0,Ecology model fitted,Uptake half saturation coefficient,Migratory fish by birds
ufishd_bird,433,0,Ecology model fitted,Maximum uptake rate,Demersal fish by birds
hsfishd_bird,434,0,Ecology model fitted,Uptake half saturation coefficient,Demersal fish by birds
udisc_bird,435,0,Ecology model fitted,Maximum uptake rate,Discards by birds
hsdisc_bird,436,0,Ecology model fitted,Uptake half saturation coefficient,Discards by birds
ucorp_bird,437,0,Ecology model fitted,Maximum uptake rate,Corpses by birds
hscorp_bird,438,0,Ecology model fitted,Uptake half saturation coefficient,Corpses by birds
bdapar_bird,439,0,Ecology model fitted,Bedding DeAngelis parameter,Birds
ucarn_seal,440,0,Ecology model fitted,Maximum uptake rate,Carnivorous zooplankton by pinnipeds
hscarn_seal,441,0,Ecology model fitted,Uptake half saturation coefficient,Carnivorous zooplankton by pinnipeds
ubenths_seal,442,0,Ecology model fitted,Maximum uptake rate,Suspension/deposit feeding benthos by pinnipeds
hsbenths_seal,443,0,Ecology model fitted,Uptake half saturation coefficient,Suspension/deposit feeding benthos by pinnipeds
ubenthc_seal,444,0,Ecology model fitted,Maximum uptake rate,Carnivore/scavenge feeding benthos by pinnipeds
hsbenthc_seal,445,0,Ecology model fitted,Uptake half saturation coefficient,Carnivore/scavenge feeding benthos by pinnipeds
ufishp_seal,446,0,Ecology model fitted,Maximum uptake rate,Planktivorous fish by pinnipeds
hsfishp_seal,447,0,Ecology model fitted,Uptake half saturation coefficient,Planktivorous fish by pinnipeds
ufishm_seal,448,0,Ecology model fitted,Maximum uptake rate,Migratory fish by pinnipeds
hsfishm_seal,449,0,Ecology model fitted,Uptake half saturation coefficient,Migratory fish by pinnipeds
ufishd_seal,450,0,Ecology model fitted,Maximum uptake rate,Demersal fish by pinnipeds
hsfishd_seal,451,0,Ecology model fitted,Uptake half saturation coefficient,Demersal fish by pinnipeds
ubird_seal,452,0,Ecology model fitted,Maximum uptake rate,Birds by pinnipeds
hsbird_seal,453,0,Ecology model fitted,Uptake half saturation coefficient,Birds by pinnipeds
udisc_seal,454,0,Ecology model fitted,Maximum uptake rate,Discards by pinnipeds
hsdisc_seal,455,0,Ecology model fitted,Uptake half saturation coefficient,Discards by pinnipeds
ucorp_seal,456,0,Ecology model fitted,Maximum uptake rate,Corpses by pinnipeds
hscorp_seal,457,0,Ecology model fitted,Uptake half saturation coefficient,Corpses by pinnipeds
bdapar_seal,458,0,Ecology model fitted,Bedding DeAngelis parameter,Pinnipeds
uomni_ceta,459,0,Ecology model fitted,Maximum uptake rate,Omnivorous zooplankton by cetaceans
hsomni_ceta,460,0,Ecology model fitted,Uptake half saturation coefficient,Omnivorous zooplankton by cetaceans
ucarn_ceta,461,0,Ecology model fitted,Maximum uptake rate,Carnivorous zooplankton by cetaceans
hscarn_ceta,462,0,Ecology model fitted,Uptake half saturation coefficient,Carnivorous zooplankton by cetaceans
ubenths_ceta,463,0,Ecology model fitted,Maximum uptake rate,Suspension/deposit feeding benthos by cetaceans
hsbenths_ceta,464,0,Ecology model fitted,Uptake half saturation coefficient,Suspension/deposit feeding benthos by cetaceans
ubenthc_ceta,465,0,Ecology model fitted,Maximum uptake rate,Carnivore/scavenge feeding benthos by cetaceans
hsbenthc_ceta,466,0,Ecology model fitted,Uptake half saturation coefficient,Carnivore/scavenge feeding benthos by cetaceans
ufishp_ceta,467,0,Ecology model fitted,Maximum uptake rate,Planktivorous fish by cetaceans
hsfishp_ceta,468,0,Ecology model fitted,Uptake half saturation coefficient,Planktivorous fish by cetaceans
ufishm_ceta,469,0,Ecology model fitted,Maximum uptake rate,Migratory fish by cetaceans
